Phase,Event,Temporal,Financial,Documentary,Testimonial,Forensic,Relational,Civil,Criminal
1,Trust Forgery,0.8750,0.5250,0.9125,0.4250,0.7750,0.8750,0.9988,0.9989
1,Ketoni Registration,0.9125,0.5750,0.9250,0.3750,0.8250,0.8875,0.9988,0.9989
2,Banking Mandate Fraud,0.9250,0.8250,0.9125,0.5250,0.8750,0.8625,0.9988,0.9989
2,Domain Hijacking,0.8750,0.6250,0.8250,0.4375,0.8250,0.8250,0.9988,0.9989
2,Sage Account Takeover,0.8625,0.6750,0.8625,0.4750,0.7750,0.8125,0.9988,0.9989
3,Revenue Stream Diversion,0.9125,0.8750,0.8750,0.4750,0.8250,0.8750,0.9988,0.9989
3,SARS eFiling Impersonation,0.8750,0.7250,0.9250,0.4875,0.8750,0.8750,0.9988,0.9989
4,Manufacture Email,0.9250,0.6750,0.9375,0.5375,0.8750,0.9125,0.9988,0.9989
4,PP Peter Forgery,0.8750,0.6250,0.9125,0.4875,0.8250,0.8625,0.9988,0.9989
5,Fraud Discovery,0.9250,0.8250,0.7750,0.5750,0.7750,0.8125,0.9988,0.9989
5,Interdict Weaponization,0.8750,0.5750,0.8750,0.4875,0.7750,0.8875,0.9988,0.9989
6,Evidence Compilation,0.9250,0.8250,0.8500,0.5375,0.8250,0.8625,0.9988,0.9989
